cgpa,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,branch_Civil,branch_ECE,branch_EEE,branch_IT,branch_Mechanical
8.51,1,0,1,1,0,12.2,6.7,64.1,0,1,1,45.7,2,False,True,False,False,False
7.66,1,1,0,0,1,88.5,5.3,67.4,0,1,0,44.9,2,False,True,False,False,False
8.97,3,0,1,1,0,44.0,7.9,82.1,0,3,0,61.8,2,False,False,False,False,False
7.9,1,0,0,1,0,24.8,8.0,86.5,3,1,0,65.6,1,False,False,False,False,False
9.86,3,1,0,0,0,12.5,8.2,85.5,2,5,2,79.0,1,False,True,False,False,False
8.65,3,1,1,0,0,4.5,6.1,95.8,1,2,0,58.1,2,False,False,False,False,True
8.49,3,1,1,0,0,85.9,10.0,48.1,2,2,0,77.5,2,False,False,True,False,False
5.58,1,0,0,0,0,81.2,6.3,77.9,1,1,0,34.0,0,False,True,False,False,False
8.54,3,1,0,1,1,36.1,5.3,63.1,2,6,0,91.1,3,False,False,True,False,False
9.46,1,1,0,1,1,28.0,5.7,69.0,2,1,0,74.7,3,False,False,False,True,False
6.53,1,0,0,0,0,23.1,6.1,89.3,2,4,0,56.1,0,True,False,False,False,False
6.89,1,1,1,0,1,89.5,9.1,51.9,0,3,1,71.5,3,False,True,False,False,False
8.12,2,0,0,0,0,50.1,4.3,60.9,0,3,0,28.7,0,False,True,False,False,False
8.95,2,1,1,1,1,70.1,9.7,92.6,2,1,1,94.1,4,False,False,True,False,False
7.91,2,1,0,0,1,19.6,4.7,61.6,2,5,0,76.6,2,False,False,True,False,False
7.49,3,1,1,0,0,65.3,4.2,83.6,0,5,0,54.6,2,False,True,False,False,False
8.84,2,1,1,0,1,25.2,5.8,76.5,1,3,0,69.9,3,False,False,False,False,True
6.78,2,0,1,0,1,7.5,9.9,86.3,0,3,0,66.8,2,False,False,False,False,True
8.55,3,0,0,0,0,70.9,7.7,78.7,2,6,0,75.8,0,True,False,False,False,False
9.89,1,1,0,0,0,86.1,6.4,77.2,2,4,0,71.7,1,False,False,True,False,False
9.79,3,0,0,0,1,18.0,7.0,90.9,0,2,1,39.5,1,False,False,False,False,True
5.57,3,1,1,1,1,52.5,6.7,59.8,1,1,0,71.8,4,True,False,False,False,False
8.57,2,1,0,0,0,52.3,6.6,94.4,2,1,0,59.3,1,False,False,False,True,False
5.79,3,0,0,1,1,98.4,6.3,64.2,1,2,0,54.1,2,False,False,True,False,False
6.92,2,0,1,1,0,9.3,8.7,66.2,1,4,0,78.5,2,False,False,False,False,True
9.55,3,0,1,0,1,27.7,6.7,60.7,0,6,0,66.7,2,False,False,False,True,False
8.66,3,1,1,0,1,36.3,5.4,99.2,3,5,0,105.9,3,False,False,True,False,False
9.31,3,0,1,0,0,38.2,6.0,59.3,1,6,0,65.1,1,False,False,False,False,True
6.27,3,0,1,0,0,63.5,6.2,64.1,0,2,0,36.4,1,False,False,True,False,False
6.08,1,1,1,0,0,96.6,4.6,56.3,1,5,1,68.2,2,False,False,False,False,False
6.03,3,1,0,0,1,0.3,6.6,83.6,2,5,1,86.3,2,False,False,False,False,True
7.92,2,0,1,1,1,70.8,6.6,47.6,3,1,0,85.3,3,False,False,False,False,True
9.68,1,0,1,0,0,25.8,9.6,40.8,1,4,0,70.0,1,False,False,False,True,False
6.57,3,0,1,0,0,17.4,4.2,41.8,1,6,0,62.2,1,False,False,False,True,False
5.3,2,1,0,0,0,60.4,5.4,75.7,3,6,1,89.4,1,False,True,False,False,False
7.63,2,1,0,0,0,10.4,6.1,42.7,0,1,0,37.3,1,False,True,False,False,False
9.84,1,1,0,1,0,37.1,9.4,76.5,2,6,0,101.3,2,False,False,False,False,True
5.07,3,1,0,0,1,98.6,6.9,80.2,0,4,0,56.7,2,False,True,False,False,False
6.98,3,0,1,0,0,17.4,6.7,85.7,0,3,0,47.1,1,False,False,False,False,False
8.0,3,1,0,0,0,93.0,7.1,60.4,0,3,1,46.9,1,False,False,True,False,False
6.51,2,1,0,0,1,13.1,7.0,42.1,1,2,0,61.5,2,False,False,False,False,True
5.36,1,1,1,0,0,47.9,5.2,50.0,1,5,0,68.7,2,False,False,False,True,False
7.96,2,0,1,0,0,74.3,8.2,83.3,1,5,0,67.3,1,False,False,True,False,False
8.29,1,0,1,0,1,7.5,8.3,60.2,1,2,1,63.6,2,False,True,False,False,False
8.6,1,1,1,0,1,59.5,9.8,65.8,2,5,0,103.2,3,True,False,False,False,False
7.91,2,1,1,1,0,41.7,6.8,76.6,1,4,0,75.7,3,False,False,True,False,False
7.15,3,0,1,0,0,2.5,7.9,78.2,0,3,0,46.8,1,True,False,False,False,False
5.32,1,1,0,1,1,97.1,4.7,98.7,1,4,1,74.8,3,False,False,False,False,True
9.18,2,0,1,0,1,44.4,8.2,79.9,2,5,0,92.0,2,False,False,False,False,True
8.6,2,1,0,0,0,62.9,5.6,97.5,0,6,0,58.5,1,False,False,False,False,True
9.24,2,1,1,0,0,52.7,5.5,68.6,1,6,1,78.7,2,False,True,False,False,False
9.46,1,0,0,0,0,15.4,9.9,63.3,0,2,0,36.5,0,False,False,True,False,False
7.88,3,0,0,0,1,58.4,5.3,55.8,2,3,0,58.6,1,False,False,False,False,False
6.42,2,0,0,1,0,45.1,7.7,43.4,1,3,3,57.6,1,False,True,False,False,False
7.34,1,1,1,0,0,18.9,4.9,42.2,1,1,0,50.5,2,False,False,False,False,True
7.55,3,0,0,0,1,59.2,7.9,83.4,1,4,0,60.3,1,False,False,True,False,False
9.43,3,1,0,0,0,67.8,5.7,55.1,1,5,0,58.8,1,False,False,True,False,False
9.81,1,1,0,1,0,7.5,7.2,63.5,0,3,1,56.1,2,True,False,False,False,False
9.09,3,1,1,0,1,45.9,6.5,67.3,2,5,0,99.0,3,True,False,False,False,False
7.56,1,0,1,0,1,49.8,4.4,73.6,1,4,0,65.7,2,False,False,False,False,False
8.63,1,1,1,1,0,82.0,8.5,69.4,1,3,0,84.9,3,True,False,False,False,False
6.93,1,1,0,1,1,94.7,8.9,74.5,0,2,0,67.3,3,True,False,False,False,False
6.23,1,1,0,1,0,42.4,7.4,93.1,0,2,0,55.7,2,True,False,False,False,False
5.26,1,0,0,0,0,90.5,7.1,80.3,0,1,0,30.4,0,False,False,False,False,True
7.97,3,1,1,0,0,70.0,8.3,50.4,0,2,0,57.0,2,False,True,False,False,False
9.21,1,1,1,0,0,58.8,9.3,84.5,0,3,0,59.6,2,False,False,False,True,False
8.16,1,1,1,0,0,94.9,9.8,41.7,2,1,1,74.7,2,False,False,False,False,False
9.74,2,1,1,1,1,58.8,4.6,59.4,1,5,0,87.6,4,False,False,False,False,True
7.38,3,1,1,1,0,60.7,9.4,89.9,1,3,0,82.7,3,False,False,False,False,False
9.53,2,0,0,1,0,93.3,9.6,67.7,1,2,0,54.8,1,True,False,False,False,False
6.06,1,0,0,0,0,22.5,7.2,72.6,0,4,1,38.2,0,False,False,False,True,False
5.43,3,0,0,0,0,44.5,8.8,46.0,0,5,0,47.2,0,False,False,False,True,False
5.65,2,1,0,0,1,7.8,7.8,95.0,0,2,1,50.1,2,False,True,False,False,False
7.54,3,0,0,1,0,91.8,8.0,65.3,1,6,1,73.8,1,True,False,False,False,False
9.56,3,0,1,0,1,71.6,5.2,50.4,0,6,1,63.5,2,False,False,False,True,False
8.7,1,0,1,0,1,46.0,5.3,48.0,3,3,0,80.7,2,False,False,True,False,False
8.7,1,1,1,1,0,92.8,9.4,53.8,1,4,0,92.7,3,False,False,False,False,False
5.91,2,0,0,1,1,13.1,8.5,75.7,2,4,1,88.7,2,False,False,False,False,True
7.4,1,1,0,0,0,44.6,4.3,71.2,0,2,0,32.2,1,False,True,False,False,False
8.79,2,1,1,1,0,41.1,5.2,91.6,0,5,0,75.5,3,True,False,False,False,False
7.97,3,1,1,0,0,99.8,5.2,83.4,2,5,0,84.1,2,False,False,False,False,False
7.96,1,0,1,1,0,31.5,4.5,64.4,1,3,0,56.3,2,False,False,True,False,False
7.9,1,1,1,0,1,3.9,5.1,89.9,2,1,0,68.8,3,False,False,False,True,False
6.32,1,1,1,1,0,31.9,4.0,57.9,0,3,1,56.8,3,True,False,False,False,False
7.1,3,0,0,0,0,79.6,7.3,96.2,0,5,0,45.8,0,False,False,False,True,False
5.98,3,1,0,0,0,49.8,5.3,97.7,1,4,0,59.6,1,True,False,False,False,False
6.52,1,1,0,0,0,96.7,9.0,43.5,0,4,0,52.1,1,False,False,False,False,True
5.22,1,0,1,0,0,81.6,7.4,72.9,0,1,3,37.3,1,False,False,True,False,False
8.09,3,1,0,1,0,13.8,9.0,68.4,0,5,1,73.6,2,True,False,False,False,False
7.21,2,1,1,0,1,57.0,5.4,52.0,1,3,3,70.6,3,False,False,False,False,False
6.31,1,0,1,1,0,18.0,8.8,67.8,0,4,0,61.7,2,False,False,True,False,False
5.89,2,1,0,1,1,61.1,6.2,52.6,2,3,0,83.5,3,False,False,False,False,True
6.99,1,0,0,0,0,9.4,6.1,85.4,0,1,0,27.5,0,False,False,False,False,True
6.25,1,0,1,0,1,89.3,8.8,92.7,2,5,0,93.4,2,False,False,False,False,True
5.44,1,1,0,0,1,38.2,7.0,57.6,0,6,0,75.8,2,False,True,False,False,False
8.45,2,1,0,0,0,89.8,4.6,49.2,1,3,0,47.1,1,False,True,False,False,False
7.17,1,0,1,0,1,78.0,4.9,76.1,1,4,0,69.5,2,False,False,False,False,True
9.63,3,0,1,1,0,33.1,8.3,67.4,1,4,0,72.3,2,False,False,False,False,True
5.09,1,0,0,0,0,58.5,8.6,62.6,0,5,2,49.6,0,False,True,False,False,False
6.01,2,0,0,0,0,90.8,5.1,76.2,3,6,1,72.0,0,False,False,False,False,False
9.51,1,0,0,0,1,45.4,6.8,80.2,0,3,0,47.0,1,True,False,False,False,False
6.51,3,1,1,0,0,94.5,6.0,93.7,2,1,0,67.8,2,False,False,False,True,False
8.34,3,0,1,0,1,66.8,8.3,94.2,0,6,0,74.2,2,False,True,False,False,False
8.42,1,1,0,0,1,98.9,6.2,43.3,0,5,0,58.8,2,False,False,False,False,False
7.43,1,1,0,0,1,56.6,7.0,78.7,2,3,0,71.3,2,False,False,False,False,True
6.14,1,1,1,0,0,55.6,9.9,66.8,1,3,0,72.4,2,False,False,True,False,False
5.13,2,1,1,0,0,86.8,7.0,81.4,0,6,0,72.2,2,False,False,True,False,False
5.61,1,0,0,0,0,11.5,9.6,91.3,3,1,0,59.4,0,False,False,False,False,False
5.57,2,0,1,1,0,7.6,9.8,77.0,0,2,0,59.1,2,False,True,False,False,False
5.59,1,1,1,0,0,23.1,5.4,78.9,0,3,0,49.9,2,False,False,False,False,False
6.25,1,0,0,0,0,55.6,7.3,61.7,2,4,1,57.0,0,False,False,False,False,True
5.88,3,0,0,1,0,74.9,9.7,82.4,2,5,0,86.5,1,False,False,False,False,False
9.42,2,1,0,1,1,36.7,7.6,83.8,0,1,0,62.7,3,False,False,True,False,False
9.69,1,1,0,0,1,67.1,9.1,55.0,2,1,0,68.9,2,False,False,True,False,False
8.05,1,0,0,0,0,73.2,5.3,73.7,2,5,0,61.6,0,False,False,False,False,True
5.94,3,1,0,0,1,41.3,9.8,64.5,0,4,2,68.3,2,False,False,False,True,False
7.83,1,0,0,0,1,21.9,6.4,40.9,0,3,0,40.2,1,False,False,False,False,False
8.33,3,1,0,1,0,66.0,7.3,69.7,0,5,0,62.2,2,False,False,False,True,False
8.69,2,1,1,1,0,81.4,8.6,64.2,0,1,0,64.5,3,False,False,True,False,False
7.27,3,0,1,1,1,27.4,5.6,99.3,0,4,0,71.6,3,False,False,False,True,False
9.28,3,1,0,0,0,36.0,8.5,89.4,2,5,1,83.4,1,False,False,False,False,False
5.03,2,0,0,1,1,19.9,8.2,61.1,2,6,0,90.0,2,False,False,True,False,False
6.96,2,0,0,1,1,73.7,6.0,82.1,1,1,1,50.8,2,True,False,False,False,False
9.59,1,1,1,1,0,0.0,6.7,53.2,2,6,0,102.3,3,False,True,False,False,False
9.93,1,1,1,0,0,5.8,6.2,98.9,0,5,0,65.7,2,True,False,False,False,False
6.25,1,0,1,1,0,19.8,5.3,77.0,0,4,0,53.2,2,False,False,False,True,False
6.47,3,1,0,0,1,46.4,4.6,97.7,0,4,0,58.2,2,False,False,True,False,False
7.74,1,1,1,0,1,91.3,8.3,63.2,2,6,0,109.8,3,False,False,False,True,False
6.62,1,1,1,0,0,26.4,8.4,65.3,0,3,0,55.3,2,True,False,False,False,False
9.52,3,0,0,1,1,72.1,4.6,77.3,1,5,0,69.3,2,False,False,False,True,False
5.41,2,1,1,1,0,39.0,4.2,82.5,2,3,0,82.0,3,False,False,False,False,True
5.97,3,0,1,1,0,79.9,7.1,47.0,0,5,0,64.9,2,False,False,True,False,False
7.02,2,1,0,1,1,29.7,9.1,84.2,0,5,2,82.8,3,False,False,True,False,False
6.37,3,0,0,0,0,2.6,7.5,66.2,2,1,3,52.0,0,False,False,False,False,True
9.03,3,1,1,0,0,27.2,9.4,82.0,0,1,0,48.2,2,True,False,False,False,False
6.88,2,1,1,1,0,24.5,7.4,73.5,0,1,0,55.3,3,False,False,False,False,False
8.99,2,1,0,0,1,7.1,4.2,42.8,3,4,0,87.6,2,True,False,False,False,False
5.72,2,1,1,0,0,91.1,7.1,49.4,1,3,0,67.5,2,False,True,False,False,False
8.2,3,1,1,0,0,98.5,9.5,41.7,2,5,0,92.5,2,False,False,True,False,False
9.94,1,1,0,0,0,83.9,8.6,43.8,1,5,0,71.7,1,False,False,False,False,False
6.11,3,1,0,0,0,43.2,6.6,87.0,1,5,0,65.0,1,False,False,True,False,False
5.96,2,1,1,0,0,85.4,8.5,56.3,0,4,1,69.5,2,True,False,False,False,False
5.58,1,1,1,1,1,2.1,9.9,73.9,3,4,0,119.2,4,True,False,False,False,False
6.96,1,0,1,0,0,50.6,4.1,91.8,0,3,0,35.2,1,False,False,True,False,False
8.0,1,0,1,0,0,51.7,4.0,56.1,1,1,1,40.5,1,False,False,False,False,True
5.89,2,1,1,0,0,24.3,5.2,79.5,2,4,0,71.7,2,False,False,False,False,False
7.44,3,1,1,0,0,91.5,7.1,40.4,2,2,0,75.5,2,False,False,True,False,False
8.19,2,1,1,0,0,19.3,7.9,68.0,0,1,3,47.8,2,True,False,False,False,False
9.16,3,0,1,0,0,90.2,5.4,44.7,0,3,1,36.5,1,False,False,True,False,False
7.89,3,1,1,0,1,24.3,5.3,44.5,1,1,0,57.9,3,False,False,True,False,False
6.05,1,0,0,1,0,21.0,7.5,53.9,1,4,1,63.8,1,False,False,True,False,False
6.87,1,1,1,0,0,15.6,4.3,92.0,1,3,0,62.6,2,True,False,False,False,False
7.0,3,0,1,0,0,80.4,5.7,88.0,1,4,0,59.7,1,False,True,False,False,False
6.02,1,1,0,1,0,83.6,8.8,47.3,1,1,0,62.7,2,False,False,False,True,False
8.08,1,0,1,1,0,42.0,6.8,87.5,1,4,1,68.4,2,False,False,False,False,True
8.84,2,1,1,0,0,10.7,6.5,93.5,0,4,0,57.4,2,False,False,False,True,False
6.17,2,1,1,0,0,2.7,4.5,41.1,1,5,0,69.8,2,False,False,False,False,False
6.96,1,1,1,0,0,98.6,4.9,98.8,1,6,0,75.9,2,False,False,False,False,False
7.67,1,1,1,0,1,98.5,6.4,78.6,0,5,1,76.8,3,False,True,False,False,False
5.28,2,1,0,1,0,58.1,5.0,92.7,1,6,2,72.4,2,False,False,True,False,False
6.5,2,0,0,1,1,31.7,10.0,79.3,2,2,0,80.0,2,False,True,False,False,False
5.22,2,0,0,0,1,97.5,6.2,65.7,2,6,0,78.5,1,False,False,False,False,True
6.95,1,0,0,0,0,37.1,6.3,98.3,0,5,0,39.6,0,False,True,False,False,False
9.57,2,1,0,0,0,42.9,6.4,51.1,1,3,3,54.1,1,False,True,False,False,False
9.08,1,1,1,1,1,16.2,8.9,97.2,2,3,0,106.1,4,True,False,False,False,False
7.97,1,1,1,0,0,98.3,4.4,68.8,2,5,1,78.3,2,False,True,False,False,False
6.72,1,0,1,1,0,52.1,5.0,44.5,0,5,2,64.3,2,False,False,False,False,True
9.75,1,1,1,0,1,6.9,5.3,67.0,1,4,0,77.5,3,False,False,False,False,False
5.44,3,0,1,0,1,77.5,6.3,47.8,3,5,0,90.7,2,False,False,False,True,False
6.63,1,0,0,0,1,32.6,8.8,92.0,0,6,0,71.0,1,False,False,True,False,False
7.77,1,1,1,0,0,46.0,8.4,97.1,1,5,1,78.8,2,False,False,True,False,False
9.59,1,1,1,0,0,7.1,9.0,97.2,0,5,2,75.4,2,False,False,False,True,False
5.39,1,1,1,0,1,64.6,5.3,83.7,1,4,0,78.6,3,False,False,False,True,False
7.37,2,1,0,0,1,12.2,9.4,78.2,3,4,0,102.7,2,False,False,True,False,False
8.97,1,0,1,0,0,39.0,6.4,48.7,2,5,1,75.0,1,False,False,False,False,False
7.87,3,1,1,0,0,23.5,5.9,77.7,1,5,1,74.5,2,False,True,False,False,False
8.73,3,1,1,0,0,25.6,5.1,72.7,1,1,0,50.4,2,True,False,False,False,False
7.57,3,1,1,0,0,73.6,7.1,96.3,2,3,0,78.8,2,False,False,False,False,True
6.8,3,1,1,0,1,42.3,6.1,90.8,0,2,0,61.3,3,False,False,True,False,False
7.5,3,1,1,0,0,24.0,8.7,53.0,2,1,0,67.2,2,False,False,True,False,False
6.66,3,0,1,0,0,27.6,9.8,76.7,0,5,3,61.6,1,False,False,False,False,False
